0,1,2,3,4,5,6,chain_break_fraction,energy,num_occurrences
1,1,1,0,1,1,1,0.0,-0.703125,1
1,1,1,0,1,1,1,0.0,-0.703125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
0,1,1,1,0,0,0,0.0,-0.78125,1
1,1,0,0,1,1,1,0.0,-0.15625,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,1,0,0,0,1,0,0.0,-0.46875,1
0,0,1,0,0,0,0,0.0,-0.546875,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,0,0,1,0,0,0,0.0,-0.546875,1
1,0,1,0,0,0,1,0.0,-0.46875,1
1,1,1,1,0,1,1,0.0,-0.390625,1
0,1,1,1,0,0,0,0.0,-0.78125,1
1,0,1,0,0,0,1,0.0,-0.46875,1
1,1,1,0,1,1,1,0.0,-0.703125,1
0,1,1,0,1,0,0,0.0,-0.46875,1
1,0,1,0,1,0,1,0.0,-0.46875,1
0,1,1,1,0,0,0,0.0,-0.78125,1
1,1,1,0,1,1,1,0.0,-0.703125,1
0,1,1,1,0,0,0,0.0,-0.78125,1
1,0,1,0,1,0,1,0.0,-0.46875,1
1,0,0,0,0,1,0,0.0,-0.546875,1
0,1,1,0,1,0,0,0.0,-0.46875,1
1,0,1,1,0,0,1,0.0,-0.78125,1
1,0,1,1,0,0,1,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,0,1,1,0,0,1,0.0,-0.78125,1
1,0,1,0,1,0,1,0.0,-0.46875,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,0,0,0,0,0,0,0.0,-0.859375,1
0,1,1,1,0,0,0,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,0,0,0,0,0,0,0.0,-0.859375,1
0,1,1,1,0,0,0,0.0,-0.78125,1
1,1,0,1,0,1,0,0.0,-0.78125,1
1,1,0,0,1,1,0,0.0,-0.46875,1
1,0,0,0,0,0,0,0.0,-0.859375,1
0,1,1,1,0,0,1,0.0,-0.46875,1
0,1,1,1,0,0,0,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,1,1,0,1,1,1,0.0,-0.703125,1
0,0,1,0,0,0,0,0.0,-0.546875,1
1,1,0,1,0,1,0,0.0,-0.78125,1
1,1,1,0,1,1,1,0.0,-0.703125,1
1,0,0,0,0,0,1,0.0,-0.546875,1
1,0,1,1,0,0,1,0.0,-0.78125,1
1,0,1,1,0,0,1,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
0,1,1,1,0,0,0,0.0,-0.78125,1
0,1,1,1,0,1,0,0.0,-0.46875,1
1,1,0,1,0,1,0,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,1,0,1,0,1,0,0.0,-0.78125,1
0,1,1,1,0,0,0,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
0,1,1,1,0,0,0,0.0,-0.78125,1
1,1,0,1,0,1,0,0.0,-0.78125,1
1,1,1,0,1,1,0,0.0,-0.390625,1
1,1,0,1,0,1,0,0.0,-0.78125,1
1,1,0,1,0,1,0,0.0,-0.78125,1
1,1,0,1,0,1,0,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,1,0,1,0,1,0,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,1,0,1,0,1,0,0.0,-0.78125,1
1,0,1,1,0,0,1,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,1,0,0,0,1,0,0.0,-0.46875,1
1,1,0,1,0,1,0,0.0,-0.78125,1
1,1,1,0,1,0,1,0.0,-0.390625,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,1,0,0,1,1,0,0.0,-0.46875,1
0,1,1,0,0,0,1,0.0,-0.15625,1
1,1,0,1,0,1,0,0.0,-0.78125,1
0,1,1,0,1,0,0,0.0,-0.46875,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,1,0,1,0,1,0,0.0,-0.78125,1
1,0,1,0,0,0,1,0.0,-0.46875,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,1,1,0,1,1,1,0.0,-0.703125,1
0,1,1,1,0,0,0,0.0,-0.78125,1
0,1,1,1,0,0,0,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,0,1,1,0,0,1,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,1,1,1,0,1,1,0.0,-0.390625,1
1,0,1,1,0,0,1,0.0,-0.78125,1
1,0,0,0,0,0,1,0.0,-0.546875,1
1,0,1,1,0,0,1,0.0,-0.78125,1
1,0,1,0,0,0,1,0.0,-0.46875,1
0,1,1,1,0,0,0,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,1,1,1,0,1,1,0.0,-0.390625,1
1,0,1,1,0,0,1,0.0,-0.78125,1
1,0,0,0,0,0,0,0.0,-0.859375,1
1,0,0,0,0,0,0,0.0,-0.859375,1
