0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,chain_break_fraction,energy,num_occurrences
1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0.0,-0.7142857142857135,1
1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0,-1.116071428571429,1
1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0.0,-1.3839285714285712,1
1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0.0,-1.696428571428573,1
0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0.0,-1.7410714285714282,1
1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0.0,-0.4017857142857171,1
1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0.0,-0.7589285714285723,1
1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0.0,-1.071428571428572,1
1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-1.4732142857142856,1
1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0.0,-1.1160714285714288,1
1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0.0,-1.0267857142857153,1
1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0,-0.8035714285714288,1
1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0,-1.1160714285714284,1
1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0.0,-1.6964285714285712,1
0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0.0,-1.3392857142857153,1
0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0.0,-1.1160714285714284,1
0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0.0,-1.1607142857142856,1
1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0.0,-1.0267857142857144,1
1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0.0,-1.4285714285714284,1
1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0.0,-1.3839285714285712,1
0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0.0,-1.6964285714285703,1
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0,-1.4732142857142856,1
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.0,-1.3839285714285725,1
0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0.0,-1.696428571428573,1
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,-1.7410714285714284,1
1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0.0,-1.1160714285714286,1
0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0.0,-1.7410714285714282,1
1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0,-1.4285714285714288,1
1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0.0,-1.339285714285717,1
0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0.0,-1.3392857142857144,1
1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0.0,-1.7410714285714284,1
0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0.0,-1.3392857142857144,1
0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0.0,-0.7589285714285712,1
0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0.0,-1.3839285714285712,1
1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0.0,-0.8035714285714288,1
1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-1.4732142857142856,1
1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.0,-1.7410714285714282,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,-1.7857142857142856,1
0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0.0,-1.4285714285714288,1
1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0.0,-1.4285714285714288,1
1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0.0,-1.4285714285714284,1
0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0.0,-1.3839285714285712,1
0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0.0,-1.071428571428572,1
1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0.0,-1.0714285714285712,1
0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0.0,-1.0714285714285712,1
1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.0,-1.4285714285714288,1
1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0.0,-1.1160714285714284,1
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0.0,-1.1607142857142851,1
1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0.0,-1.3839285714285712,1
1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0.0,-1.071428571428572,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.2053571428571428,1
0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0.0,-1.0714285714285716,1
0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0.0,-1.7410714285714284,1
1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0.0,-1.116071428571428,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0.0,-1.4732142857142856,1
0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0.0,-1.0714285714285707,1
0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0.0,0.13392857142857162,1
1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0.0,-1.696428571428573,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,-1.7857142857142856,1
0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0.0,-1.6964285714285703,1
1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0.0,-0.7589285714285712,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-1.1607142857142858,1
0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0.0,-0.8035714285714275,1
1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0.0,-1.0714285714285712,1
1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0.0,-1.3839285714285712,1
0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0.0,-1.3839285714285703,1
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,-1.7857142857142856,1
1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0.0,-1.428571428571428,1
1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0.0,-1.6964285714285712,1
1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0.0,-1.4285714285714288,1
0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0.0,-1.6964285714285707,1
1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0.0,-1.1160714285714293,1
1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0.0,-1.1160714285714288,1
1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0.0,-1.0267857142857135,1
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0.0,-1.1160714285714288,1
1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0.0,-1.3839285714285712,1
1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0.0,-1.4285714285714288,1
1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,-1.3392857142857153,1
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,-1.4732142857142856,1
0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0.0,-1.6964285714285712,1
0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0.0,-1.3839285714285712,1
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0.0,-1.7410714285714284,1
1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0.0,-1.3839285714285716,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.4732142857142856,1
1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0.0,-1.4285714285714288,1
1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0,-1.1160714285714284,1
1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0.0,-1.3839285714285716,1
