0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,chain_break_fraction,energy,num_occurrences
0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.925,1
1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0.0,-0.6750000000000007,1
0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0.0,-0.9,1
0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0.0,-0.7000000000000006,1
1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0.0,-0.875,1
0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0.0,-1.2999999999999998,1
1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,-0.7250000000000001,1
1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0.0,-0.6499999999999995,1
0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.0,-0.6999999999999997,1
1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0.0,-0.6999999999999997,1
0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0.0,-1.3000000000000003,1
1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-1.2999999999999998,1
1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0.0,-0.7000000000000006,1
0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0.0,-1.1249999999999998,1
1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0.0,-0.4500000000000015,1
0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.0,-0.9249999999999994,1
1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.9249999999999999,1
0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0.0,-0.27500000000000036,1
1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0.0,-0.9000000000000004,1
0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0.0,-0.8999999999999999,1
1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0.0,-0.9000000000000001,1
0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0.0,-0.8999999999999999,1
1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0,-1.1,1
1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0.0,-0.6750000000000007,1
0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0.0,-0.9000000000000004,1
1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0.0,-1.075000000000001,1
1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0.0,-0.6750000000000003,1
1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.0,-1.125,1
1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.0,-0.3250000000000002,1
1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0.0,-0.7000000000000002,1
1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0.0,-0.6750000000000002,1
0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0.0,-0.6750000000000003,1
0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0.0,-1.3250000000000002,1
0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0.0,-0.8999999999999999,1
0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0.0,-0.5249999999999995,1
0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0.0,-0.8999999999999995,1
0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0.0,-0.9,1
0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0,-0.925,1
0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0.0,-0.8750000000000009,1
0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0.0,-0.7250000000000001,1
1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0.0,-0.7000000000000002,1
0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0.0,-0.27500000000000036,1
0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,-0.9249999999999998,1
1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0.0,-0.8999999999999999,1
1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0,-0.7249999999999996,1
0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0.0,-1.3000000000000003,1
1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0.0,-0.9000000000000006,1
1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0.0,-1.0750000000000006,1
1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0.0,-1.1000000000000005,1
0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.0,-1.1,1
1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0.0,-1.0750000000000002,1
0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0.0,-0.8999999999999999,1
1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0.0,-1.0750000000000002,1
1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0.0,-1.0750000000000002,1
1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0.0,-0.8499999999999988,1
1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0.0,-0.6749999999999999,1
0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0.0,-0.875,1
1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0.0,-1.25,1
1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0.0,-0.6749999999999998,1
0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0.0,-0.9250000000000003,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,-1.325,1
0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,-0.925,1
1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0.0,-1.075000000000001,1
1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0.0,-1.075000000000001,1
0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0.0,-0.30000000000000027,1
1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0.0,-0.875,1
0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0.0,-0.8999999999999999,1
0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0.0,-1.3000000000000003,1
1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0.0,-0.6749999999999998,1
1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0.0,-1.1,1
0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0.0,-0.7000000000000002,1
1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0.0,-0.7000000000000002,1
1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0.0,-1.0750000000000002,1
0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0.0,-0.9000000000000004,1
1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0.0,-0.8750000000000004,1
1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0.0,-1.0499999999999998,1
0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0.0,-0.6999999999999998,1
0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0.0,-1.1,1
1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0.0,-1.0749999999999993,1
0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0.0,-1.0750000000000002,1
1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0.0,-1.1000000000000005,1
0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0.0,-0.8749999999999991,1
1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0.0,-1.0999999999999996,1
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0.0,-1.1,1
0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0.0,-1.125,1
1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0.0,-1.0499999999999998,1
